record,IITKGP
1/1/1988,-0.612
2/1/1988,0.551
3/1/1988,-0.219
4/1/1988,-0.077
5/1/1988,-0.749
6/1/1988,-1.055
7/1/1988,0.576
8/1/1988,-0.745
9/1/1988,-0.689
10/1/1988,-2.314
11/1/1988,0.401
12/1/1988,1.074
1/1/1989,0.618
2/1/1989,0.849
3/1/1989,0.632
4/1/1989,-0.573
5/1/1989,2.691
6/1/1989,1.995
7/1/1989,1.458
8/1/1989,-0.132
9/1/1989,-0.121
10/1/1989,0.136
11/1/1989,0.572
12/1/1989,-0.445
1/1/1990,-0.352
2/1/1990,1.151
3/1/1990,0.414
4/1/1990,-1.879
5/1/1990,-1.803
6/1/1990,0.093
7/1/1990,-1.215
8/1/1990,0.466
9/1/1990,1.482
10/1/1990,0.139
11/1/1990,-0.359
12/1/1990,-0.312
1/1/1991,0.869
2/1/1991,-0.852
3/1/1991,0.522
4/1/1991,-0.639
5/1/1991,-0.539
6/1/1991,-1.155
7/1/1991,-1.22
8/1/1991,0.036
9/1/1991,-0.513
10/1/1991,-0.623
11/1/1991,-0.804
12/1/1991,-2.067
1/1/1992,0.073
2/1/1992,-1.627
3/1/1992,-1.01
4/1/1992,-0.439
5/1/1992,-2.032
6/1/1992,-2.193
7/1/1992,-0.566
8/1/1992,-0.35
9/1/1992,0.435
10/1/1992,-0.319
11/1/1992,0.122
12/1/1992,0.244
1/1/1993,-2.021
2/1/1993,0.437
3/1/1993,-0.378
4/1/1993,0.087
5/1/1993,1.26
6/1/1993,1.218
7/1/1993,1.957
8/1/1993,1.083
9/1/1993,1.061
10/1/1993,0.748
11/1/1993,0.324
12/1/1993,1.028
1/1/1994,0.723
2/1/1994,1.157
3/1/1994,0.693
4/1/1994,-0.052
5/1/1994,-0.153
6/1/1994,-1.682
7/1/1994,-0.492
8/1/1994,1.91
9/1/1994,-0.947
10/1/1994,-0.578
11/1/1994,-0.793
12/1/1994,0.933
1/1/1995,1.448
2/1/1995,0.533
3/1/1995,-0.154
4/1/1995,0.649
5/1/1995,1.397
6/1/1995,-0.802
7/1/1995,-3.01
8/1/1995,-0.696
9/1/1995,1.173
10/1/1995,-0.057
11/1/1995,0.143
12/1/1995,1.47
1/1/1996,0.332
2/1/1996,-0.525
3/1/1996,0.543
4/1/1996,0.115
5/1/1996,0.983
6/1/1996,-0.252
7/1/1996,0.021
8/1/1996,-1.502
9/1/1996,-1.314
10/1/1996,0.966
11/1/1996,-1.667
12/1/1996,-0.023
1/1/1997,0.369
2/1/1997,-0.244
3/1/1997,0.701
4/1/1997,-0.458
5/1/1997,1.028
6/1/1997,-0.458
7/1/1997,0.78
8/1/1997,0.768
9/1/1997,0.122
10/1/1997,-0.595
11/1/1997,-1.905
12/1/1997,-0.835
1/1/1998,0.413
2/1/1998,0.39
3/1/1998,0.736
4/1/1998,1.927
5/1/1998,-0.038
6/1/1998,1.031
7/1/1998,1.45
8/1/1998,0.904
9/1/1998,-0.122
10/1/1998,0.4
11/1/1998,0.817
12/1/1998,1.435
1/1/1999,0.999
2/1/1999,0.456
3/1/1999,0.18
4/1/1999,0.949
5/1/1999,1.639
6/1/1999,-1.325
7/1/1999,0.316
8/1/1999,0.042
9/1/1999,-0.012
10/1/1999,1.653
11/1/1999,0.901
12/1/1999,1.784
1/1/2000,1.273
2/1/2000,0.62
3/1/2000,0.133
4/1/2000,0.233
5/1/2000,1.127
6/1/2000,0.117
7/1/2000,0.059
8/1/2000,-0.674
9/1/2000,-1.853
10/1/2000,0.347
11/1/2000,-1.537
12/1/2000,-1.29
1/1/2001,-0.471
2/1/2001,-0.265
3/1/2001,-0.555
4/1/2001,0.515
5/1/2001,-0.262
6/1/2001,0.386
7/1/2001,-0.928
8/1/2001,0.91
9/1/2001,1.161
10/1/2001,1.277
11/1/2001,0.996
12/1/2001,1.474
1/1/2002,0.747
2/1/2002,1.334
3/1/2002,-1.823
4/1/2002,0.165
5/1/2002,-2.798
6/1/2002,-1.112
7/1/2002,-0.591
8/1/2002,-0.099
9/1/2002,-0.864
10/1/2002,-2.564
11/1/2002,-0.924
12/1/2002,1.308
1/1/2003,-0.988
2/1/2003,-0.357
3/1/2003,-0.188
4/1/2003,0.224
5/1/2003,0.385
6/1/2003,-0.775
7/1/2003,0.727
8/1/2003,0.678
9/1/2003,-0.323
10/1/2003,-0.025
11/1/2003,-0.712
12/1/2003,-1.323
1/1/2004,0.807
2/1/2004,-1.182
3/1/2004,0.432
4/1/2004,0.151
5/1/2004,0.46
6/1/2004,1.195
7/1/2004,1.474
8/1/2004,-0.071
9/1/2004,0.254
10/1/2004,-0.042
11/1/2004,-0.242
12/1/2004,-0.973
1/1/2005,-0.129
2/1/2005,1.243
3/1/2005,0.158
4/1/2005,0.355
5/1/2005,-0.297
6/1/2005,-1.428
7/1/2005,-0.252
8/1/2005,0.228
9/1/2005,0.241
10/1/2005,0.031
11/1/2005,-0.551
12/1/2005,-1.968
1/1/2006,0.339
2/1/2006,-0.211
3/1/2006,0.501
4/1/2006,-0.169
5/1/2006,1.695
6/1/2006,0.438
7/1/2006,0.926
8/1/2006,-1.727
9/1/2006,-0.324
10/1/2006,0.879
11/1/2006,0.101
12/1/2006,0.638
1/1/2007,-0.083
2/1/2007,0.075
3/1/2007,-0.57
4/1/2007,-1.035
5/1/2007,-0.612
6/1/2007,-1.198
7/1/2007,-2.631
8/1/2007,-0.108
9/1/2007,0.031
10/1/2007,-0.434
11/1/2007,-0.984
12/1/2007,1.929
1/1/2008,1.208
2/1/2008,1.147
3/1/2008,0.587
4/1/2008,-0.873
5/1/2008,-0.49
6/1/2008,1.348
7/1/2008,0.32
8/1/2008,0.087
9/1/2008,1.386
10/1/2008,1.215
11/1/2008,0.92
12/1/2008,1.194
1/1/2009,0.963
2/1/2009,0.456
3/1/2009,0.605
4/1/2009,0.029
5/1/2009,-0.733
6/1/2009,-0.47
7/1/2009,-1.234
8/1/2009,-0.686
9/1/2009,-0.017
10/1/2009,0.085
11/1/2009,-1.915
12/1/2009,0.607
1/1/2010,-0.757
2/1/2010,-0.775
3/1/2010,0.108
4/1/2010,0.377
5/1/2010,1.021
6/1/2010,2.071
7/1/2010,2.424
8/1/2010,1.51
9/1/2010,0.402
10/1/2010,1.335
11/1/2010,1.516
12/1/2010,0.205
1/1/2011,0.052
2/1/2011,1.074
3/1/2011,-0.296
4/1/2011,-0.87
5/1/2011,1.266
6/1/2011,-0.099
7/1/2011,-1.384
8/1/2011,-1.202
9/1/2011,-1.25
10/1/2011,0.388
11/1/2011,-0.908
12/1/2011,2.573
1/1/2012,1.583
2/1/2012,-0.283
3/1/2012,0.275
4/1/2012,0.666
5/1/2012,0.153
6/1/2012,-0.197
7/1/2012,1.259
8/1/2012,0.489
9/1/2012,0.562
10/1/2012,-0.444
11/1/2012,-1.701
12/1/2012,-0.764
1/1/2013,0.071
2/1/2013,0.716
3/1/2013,1.375
4/1/2013,0.611
5/1/2013,0.36
6/1/2013,-0.271
7/1/2013,0.945
8/1/2013,-1.561
9/1/2013,-1.658
10/1/2013,-0.458
11/1/2013,0.189
12/1/2013,0.061
1/1/2014,-0.683
2/1/2014,0.322
3/1/2014,0.467
4/1/2014,0.614
5/1/2014,-0.445
6/1/2014,0.841
7/1/2014,0.247
8/1/2014,-0.059
9/1/2014,-1.119
10/1/2014,-0.039
11/1/2014,-0.519
12/1/2014,1.322
1/1/2015,0.675
2/1/2015,1.217
3/1/2015,0.773
4/1/2015,1.029
5/1/2015,0.416
6/1/2015,0.711
7/1/2015,1.678
8/1/2015,1.062
9/1/2015,0.542
10/1/2015,-0.17
11/1/2015,0.695
12/1/2015,-0.059
1/1/2016,1.392
2/1/2016,1.093
3/1/2016,2.038
4/1/2016,0.097
5/1/2016,0.012
6/1/2016,2.565
7/1/2016,0.407
8/1/2016,-0.739
9/1/2016,2.333
10/1/2016,-0.177
11/1/2016,-1.508
12/1/2016,-0.711
1/1/2017,-0.982
2/1/2017,-0.015
3/1/2017,0.156
4/1/2017,0.619
5/1/2017,1.053
6/1/2017,0.546
7/1/2017,0.728
8/1/2017,0.764
9/1/2017,1.296
10/1/2017,-0.568
11/1/2017,0.771
12/1/2017,0.984
1/1/2018,1.275
2/1/2018,1.041
3/1/2018,0.141
4/1/2018,-1.166
5/1/2018,-0.077
6/1/2018,-0.012
7/1/2018,0.377
8/1/2018,-0.343
9/1/2018,1.458
10/1/2018,0.53
11/1/2018,0.991
12/1/2018,0.93
1/1/2019,0.677
2/1/2019,-0.5
3/1/2019,0.745
4/1/2019,0.336
5/1/2019,0.335
6/1/2019,1.465
7/1/2019,-0.39
8/1/2019,-1.08
9/1/2019,0.563
10/1/2019,-0.925
11/1/2019,-1.84
12/1/2019,-1.36
1/1/2020,-0.231
2/1/2020,0.275
3/1/2020,1.426
4/1/2020,-0.475
5/1/2020,0.577
6/1/2020,1.071
7/1/2020,-0.546
8/1/2020,-0.72
9/1/2020,0.194
10/1/2020,1.264
11/1/2020,0.813
12/1/2020,1.481
1/1/2021,1.045
2/1/2021,1.344
3/1/2021,0.086
4/1/2021,0.827
5/1/2021,0.314
6/1/2021,1.179
7/1/2021,-0.46
8/1/2021,-0.227
9/1/2021,1.336
10/1/2021,0.453
11/1/2021,1.321
12/1/2021,2.155
1/1/2022,0.825
2/1/2022,0.643
3/1/2022,0.558
4/1/2022,0.532
5/1/2022,0.096
6/1/2022,-0.871
7/1/2022,0.447
8/1/2022,0.731
9/1/2022,1.469
10/1/2022,0.33
11/1/2022,1.713
12/1/2022,1.7
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
