record,IITKGP
1/1/1988,0.265
2/1/1988,-1.066
3/1/1988,-0.197
4/1/1988,-0.561
5/1/1988,-0.846
6/1/1988,0.06
7/1/1988,-0.143
8/1/1988,0.255
9/1/1988,1.039
10/1/1988,0.032
11/1/1988,-0.035
12/1/1988,1.679
1/1/1989,3.106
2/1/1989,3.279
3/1/1989,1.53
4/1/1989,-0.25
5/1/1989,0.889
6/1/1989,0.345
7/1/1989,0.866
8/1/1989,0.551
9/1/1989,0.703
10/1/1989,0.991
11/1/1989,0.034
12/1/1989,-0.644
1/1/1990,1.001
2/1/1990,3.402
3/1/1990,2.99
4/1/1990,1.879
5/1/1990,0.943
6/1/1990,0.304
7/1/1990,-0.296
8/1/1990,-0.18
9/1/1990,-0.21
10/1/1990,0.66
11/1/1990,0.521
12/1/1990,1.277
1/1/1991,0.723
2/1/1991,-0.876
3/1/1991,-0.527
4/1/1991,0.53
5/1/1991,0.486
6/1/1991,-0.115
7/1/1991,-0.188
8/1/1991,0.797
9/1/1991,-0.112
10/1/1991,-0.252
11/1/1991,0.285
12/1/1991,1.613
1/1/1992,0.55
2/1/1992,1.122
3/1/1992,0.984
4/1/1992,-0.52
5/1/1992,1.341
6/1/1992,-0.302
7/1/1992,0.191
8/1/1992,0.535
9/1/1992,-0.64
10/1/1992,-0.366
11/1/1992,0.717
12/1/1992,1.627
1/1/1993,3.495
2/1/1993,0.184
3/1/1993,0.764
4/1/1993,-0.435
5/1/1993,-1.607
6/1/1993,-0.519
7/1/1993,-0.511
8/1/1993,-0.393
9/1/1993,-0.361
10/1/1993,-0.565
11/1/1993,1.002
12/1/1993,-0.104
1/1/1994,-0.288
2/1/1994,-0.862
3/1/1994,1.881
4/1/1994,0.225
5/1/1994,-0.115
6/1/1994,1.606
7/1/1994,0.351
8/1/1994,0.828
9/1/1994,-0.084
10/1/1994,0.174
11/1/1994,1.779
12/1/1994,0.894
1/1/1995,-0.154
2/1/1995,1.429
3/1/1995,0.393
4/1/1995,-0.963
5/1/1995,-0.891
6/1/1995,-0.112
7/1/1995,-0.217
8/1/1995,0.544
9/1/1995,-0.549
10/1/1995,0.075
11/1/1995,-0.723
12/1/1995,-2.127
1/1/1996,-1.2
2/1/1996,0.163
3/1/1996,-1.483
4/1/1996,-1.525
5/1/1996,-0.226
6/1/1996,0.497
7/1/1996,0.715
8/1/1996,0.125
9/1/1996,-1.14
10/1/1996,0.182
11/1/1996,0.136
12/1/1996,-1.721
1/1/1997,-0.457
2/1/1997,1.889
3/1/1997,1.091
4/1/1997,0.324
5/1/1997,-0.961
6/1/1997,-0.815
7/1/1997,-0.431
8/1/1997,0.121
9/1/1997,0.195
10/1/1997,-0.7
11/1/1997,-0.661
12/1/1997,-0.071
1/1/1998,-2.081
