record,IITKGP
1/1/1988,0.353
2/1/1988,-0.154
3/1/1988,-0.313
4/1/1988,-0.128
5/1/1988,-0.513
6/1/1988,-0.272
7/1/1988,-0.15
8/1/1988,-0.289
9/1/1988,-0.394
10/1/1988,-0.525
11/1/1988,-0.183
12/1/1988,0.156
1/1/1989,-0.281
2/1/1989,-0.045
3/1/1989,-0.319
4/1/1989,-0.48
5/1/1989,-0.594
6/1/1989,-0.78
7/1/1989,-0.447
8/1/1989,-0.321
9/1/1989,-0.225
10/1/1989,-0.412
11/1/1989,-0.338
12/1/1989,-0.167
1/1/1990,-0.099
2/1/1990,-0.289
3/1/1990,-0.143
4/1/1990,-0.385
5/1/1990,-0.348
6/1/1990,-0.568
7/1/1990,-0.246
8/1/1990,-0.392
9/1/1990,-0.183
10/1/1990,-0.345
11/1/1990,-0.094
12/1/1990,0.003
1/1/1991,0.065
2/1/1991,-0.097
3/1/1991,-0.037
4/1/1991,0.289
5/1/1991,0.379
6/1/1991,0.263
7/1/1991,0.27
8/1/1991,0.058
9/1/1991,0.099
10/1/1991,-0.03
11/1/1991,0.04
12/1/1991,0.084
1/1/1992,-0.321
2/1/1992,-0.389
3/1/1992,-0.671
4/1/1992,-0.553
5/1/1992,-0.549
6/1/1992,-0.861
7/1/1992,-0.479
8/1/1992,-0.768
9/1/1992,-0.833
10/1/1992,-0.627
11/1/1992,-0.399
12/1/1992,-0.317
1/1/1993,-0.196
2/1/1993,0.035
3/1/1993,-0.295
4/1/1993,-0.181
5/1/1993,-0.027
6/1/1993,-0.108
7/1/1993,-0.152
8/1/1993,-0.305
9/1/1993,-0.17
10/1/1993,-0.156
11/1/1993,-0.149
12/1/1993,-0.206
1/1/1994,0.025
2/1/1994,-0.146
3/1/1994,0.202
4/1/1994,0.351
5/1/1994,0.544
6/1/1994,0.433
7/1/1994,0.557
8/1/1994,0.811
9/1/1994,0.529
10/1/1994,0.707
11/1/1994,0.287
12/1/1994,0.263
1/1/1995,0.14
2/1/1995,0.164
3/1/1995,-0.05
4/1/1995,-0.221
5/1/1995,-0.251
6/1/1995,-0.078
7/1/1995,-0.169
8/1/1995,-0.144
9/1/1995,-0.18
10/1/1995,-0.367
11/1/1995,-0.294
12/1/1995,0.09
1/1/1996,-0.021
2/1/1996,-0.033
3/1/1996,-0.085
4/1/1996,-0.369
5/1/1996,-0.266
6/1/1996,-0.394
7/1/1996,-0.643
8/1/1996,-0.681
9/1/1996,-0.712
10/1/1996,-1.108
11/1/1996,-0.797
12/1/1996,-0.413
1/1/1997,-0.11
2/1/1997,0.079
3/1/1997,0.043
4/1/1997,0.054
5/1/1997,0.025
6/1/1997,0.082
7/1/1997,0.447
8/1/1997,0.634
9/1/1997,0.771
10/1/1997,0.873
11/1/1997,1.279
12/1/1997,0.863
1/1/1998,0.525
2/1/1998,0.422
3/1/1998,-0.055
4/1/1998,0.047
5/1/1998,0.14
6/1/1998,0.147
7/1/1998,-0.385
8/1/1998,-0.58
9/1/1998,-0.496
10/1/1998,-0.743
11/1/1998,-0.653
12/1/1998,-0.336
1/1/1999,-0.13
2/1/1999,-0.038
3/1/1999,0.102
4/1/1999,-0.002
5/1/1999,-0.186
6/1/1999,-0.145
7/1/1999,0.112
8/1/1999,0.023
9/1/1999,-0.05
10/1/1999,-0.19
11/1/1999,-0.116
12/1/1999,-0.148
1/1/2000,-0.125
2/1/2000,-0.009
3/1/2000,0.14
4/1/2000,0.141
5/1/2000,0.113
6/1/2000,-0.022
7/1/2000,0.077
8/1/2000,0.131
9/1/2000,-0.096
10/1/2000,-0.142
11/1/2000,-0.306
12/1/2000,-0.248
1/1/2001,-0.431
2/1/2001,-0.017
3/1/2001,-0.01
4/1/2001,0.136
5/1/2001,0.137
6/1/2001,0.127
7/1/2001,-0.14
8/1/2001,-0.301
9/1/2001,-0.223
10/1/2001,-0.451
11/1/2001,-0.245
12/1/2001,-0.051
1/1/2002,-0.142
2/1/2002,-0.098
3/1/2002,0.008
4/1/2002,-0.352
5/1/2002,-0.329
6/1/2002,-0.19
7/1/2002,-0.26
8/1/2002,-0.208
9/1/2002,0.286
10/1/2002,0.405
11/1/2002,0.096
12/1/2002,-0.158
1/1/2003,-0.239
2/1/2003,0.017
3/1/2003,-0.039
4/1/2003,-0.099
5/1/2003,-0.164
6/1/2003,0.139
7/1/2003,0.131
8/1/2003,0.108
9/1/2003,-0.061
10/1/2003,-0.243
11/1/2003,-0.159
12/1/2003,0.189
1/1/2004,0.044
2/1/2004,0.114
3/1/2004,0.077
4/1/2004,-0.08
5/1/2004,-0.565
6/1/2004,-0.384
7/1/2004,-0.301
8/1/2004,-0.132
9/1/2004,-0.106
10/1/2004,-0.004
11/1/2004,-0.153
12/1/2004,-0.132
1/1/2005,-0.124
2/1/2005,-0.56
3/1/2005,-0.432
4/1/2005,0.084
5/1/2005,-0.033
6/1/2005,-0.176
7/1/2005,-0.384
8/1/2005,-0.345
9/1/2005,-0.534
10/1/2005,-0.436
11/1/2005,-0.272
12/1/2005,-0.3
1/1/2006,-0.135
2/1/2006,-0.305
3/1/2006,-0.226
4/1/2006,-0.015
5/1/2006,-0.207
6/1/2006,-0.059
7/1/2006,0.04
8/1/2006,0.229
9/1/2006,0.428
10/1/2006,0.577
11/1/2006,0.501
12/1/2006,0.172
1/1/2007,0.224
2/1/2007,0.15
3/1/2007,0.116
4/1/2007,0.1
5/1/2007,0.27
6/1/2007,0.03
7/1/2007,0.045
8/1/2007,0.236
9/1/2007,0.235
10/1/2007,0.068
11/1/2007,-0.023
12/1/2007,-0.227
1/1/2008,0.115
2/1/2008,-0.072
3/1/2008,0.097
4/1/2008,-0.153
5/1/2008,0.178
6/1/2008,0.215
7/1/2008,0.246
8/1/2008,0.124
9/1/2008,0.086
10/1/2008,0.029
11/1/2008,-0.128
12/1/2008,-0.053
1/1/2009,0.031
2/1/2009,0.163
3/1/2009,0.1
4/1/2009,0.126
5/1/2009,0.256
6/1/2009,0.1
7/1/2009,-0.192
8/1/2009,-0.104
9/1/2009,-0.103
10/1/2009,-0.013
11/1/2009,-0.067
12/1/2009,0.16
1/1/2010,0.294
2/1/2010,0.023
3/1/2010,0.458
4/1/2010,0.37
5/1/2010,-0.03
6/1/2010,-0.14
7/1/2010,-0.001
8/1/2010,-0.062
9/1/2010,-0.268
10/1/2010,-0.437
11/1/2010,-0.495
12/1/2010,-0.212
1/1/2011,0.192
2/1/2011,0.242
3/1/2011,0.367
4/1/2011,0.154
5/1/2011,-0.089
6/1/2011,0.055
7/1/2011,0.223
8/1/2011,0.344
9/1/2011,0.202
10/1/2011,0.356
11/1/2011,0.336
12/1/2011,-0.128
1/1/2012,0.046
2/1/2012,-0.078
3/1/2012,0.026
4/1/2012,-0.271
5/1/2012,-0.37
6/1/2012,0.001
7/1/2012,0.546
8/1/2012,0.652
9/1/2012,0.453
10/1/2012,0.11
11/1/2012,-0.1
12/1/2012,0.268
1/1/2013,-0.065
2/1/2013,0.189
3/1/2013,0.083
4/1/2013,-0.297
5/1/2013,-0.506
6/1/2013,-0.497
7/1/2013,-0.18
8/1/2013,-0.194
9/1/2013,-0.31
10/1/2013,-0.168
11/1/2013,0.199
12/1/2013,0.141
1/1/2014,-0.101
2/1/2014,-0.089
3/1/2014,-0.151
4/1/2014,-0.058
5/1/2014,-0.092
6/1/2014,-0.028
7/1/2014,-0.363
8/1/2014,-0.372
9/1/2014,-0.145
10/1/2014,0.141
11/1/2014,0.01
12/1/2014,0.046
1/1/2015,-0.1
2/1/2015,-0.345
3/1/2015,-0.241
4/1/2015,-0.008
5/1/2015,0.24
6/1/2015,0.296
7/1/2015,0.225
8/1/2015,0.567
9/1/2015,0.294
10/1/2015,0.483
11/1/2015,0.347
12/1/2015,0.272
1/1/2016,0.266
2/1/2016,-0.11
3/1/2016,-0.009
4/1/2016,0.146
5/1/2016,-0.113
6/1/2016,-0.443
7/1/2016,-0.758
8/1/2016,-0.444
9/1/2016,-0.437
10/1/2016,-0.372
11/1/2016,-0.382
12/1/2016,-0.31
1/1/2017,-0.086
2/1/2017,0.101
3/1/2017,0.357
4/1/2017,0.499
5/1/2017,0.536
6/1/2017,0.424
7/1/2017,0.52
8/1/2017,0.349
9/1/2017,0.034
10/1/2017,0.016
11/1/2017,0.289
12/1/2017,0.109
1/1/2018,-0.2
2/1/2018,0.215
3/1/2018,-0.12
4/1/2018,-0.083
5/1/2018,0.122
6/1/2018,0.155
7/1/2018,0.053
8/1/2018,0.122
9/1/2018,0.604
10/1/2018,0.685
11/1/2018,0.5
12/1/2018,0.309
1/1/2019,0.387
2/1/2019,0.416
3/1/2019,0.224
4/1/2019,0.258
5/1/2019,0.539
6/1/2019,0.605
7/1/2019,0.597
8/1/2019,0.436
9/1/2019,0.893
10/1/2019,0.964
11/1/2019,0.835
12/1/2019,0.243
1/1/2020,0.173
2/1/2020,0.054
3/1/2020,0.019
4/1/2020,-0.011
5/1/2020,0.298
6/1/2020,0.454
7/1/2020,0.32
8/1/2020,-0.183
9/1/2020,-0.19
10/1/2020,0.074
11/1/2020,0.02
12/1/2020,0.03
1/1/2021,0.051
2/1/2021,0.243
3/1/2021,0.266
4/1/2021,0.25
5/1/2021,0.009
6/1/2021,-0.002
7/1/2021,-0.228
8/1/2021,-0.099
9/1/2021,-0.058
10/1/2021,-0.091
11/1/2021,0.069
12/1/2021,-0.12
1/1/2022,-0.056
2/1/2022,-0.083
3/1/2022,-0.093
4/1/2022,-0.068
5/1/2022,-0.122
6/1/2022,-0.335
7/1/2022,-0.195
8/1/2022,-0.246
9/1/2022,-0.322
10/1/2022,-0.691
11/1/2022,-0.269
12/1/2022,-0.092
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
