record,IITKGP
1/1/1988,0.68
2/1/1988,0.42
3/1/1988,-0.58
4/1/1988,-1.42
5/1/1988,0.64
6/1/1988,1.19
7/1/1988,-0.32
8/1/1988,-0.07
9/1/1988,-0.82
10/1/1988,-0.66
11/1/1988,-0.49
12/1/1988,0.48
1/1/1989,0.85
2/1/1989,1.82
3/1/1989,1.54
4/1/1989,0.16
5/1/1989,1.33
6/1/1989,0.03
7/1/1989,1
8/1/1989,-0.11
9/1/1989,2.15
10/1/1989,0.48
11/1/1989,0.03
12/1/1989,-1.15
1/1/1990,0.7
2/1/1990,1.16
3/1/1990,1.13
4/1/1990,2.03
5/1/1990,-1.37
6/1/1990,0.29
7/1/1990,0.56
8/1/1990,1.12
9/1/1990,1.18
10/1/1990,0.76
11/1/1990,-0.39
12/1/1990,0.11
1/1/1991,0.49
2/1/1991,0.74
3/1/1991,-0.61
4/1/1991,0.17
5/1/1991,0.12
6/1/1991,-0.52
7/1/1991,-0.46
8/1/1991,1.46
9/1/1991,0.61
10/1/1991,0.3
11/1/1991,0.37
12/1/1991,0.34
1/1/1992,-0.66
2/1/1992,0.77
3/1/1992,0.51
4/1/1992,1.88
5/1/1992,2.49
6/1/1992,0.51
7/1/1992,0.19
8/1/1992,0.97
9/1/1992,-0.28
10/1/1992,-1.4
11/1/1992,1.12
12/1/1992,0.35
1/1/1993,1.35
2/1/1993,0.12
3/1/1993,0.3
4/1/1993,0.91
5/1/1993,-0.67
6/1/1993,-0.29
7/1/1993,-3.14
8/1/1993,0.03
9/1/1993,-0.41
10/1/1993,-0.26
11/1/1993,2.56
12/1/1993,1.36
1/1/1994,0.7
2/1/1994,0.08
3/1/1994,0.92
4/1/1994,1.1
5/1/1994,-0.48
6/1/1994,1.84
7/1/1994,1.34
8/1/1994,0.36
9/1/1994,-1.14
10/1/1994,-0.54
11/1/1994,0.54
12/1/1994,1.78
1/1/1995,0.57
2/1/1995,0.85
3/1/1995,0.91
4/1/1995,-1.07
5/1/1995,-1.33
6/1/1995,0.44
7/1/1995,-0.19
8/1/1995,0.76
9/1/1995,0.45
10/1/1995,0.72
11/1/1995,-1.59
12/1/1995,-1.64
1/1/1996,-0.65
2/1/1996,-0.52
3/1/1996,-0.66
4/1/1996,-0.33
5/1/1996,-0.93
6/1/1996,0.87
7/1/1996,0.7
8/1/1996,1.19
9/1/1996,-0.69
10/1/1996,0.15
11/1/1996,-0.72
12/1/1996,-1.4
1/1/1997,-1.08
2/1/1997,1.48
3/1/1997,1.13
4/1/1997,-1.25
5/1/1997,-0.21
6/1/1997,-1.17
7/1/1997,0.37
8/1/1997,0.94
9/1/1997,0.74
10/1/1997,-1.34
11/1/1997,-1.08
12/1/1997,-0.98
1/1/1998,-0.05
2/1/1998,-0.57
3/1/1998,0.51
4/1/1998,-0.88
5/1/1998,-1.17
6/1/1998,-2.44
7/1/1998,-0.45
8/1/1998,-0.15
9/1/1998,-1.8
10/1/1998,0.2
11/1/1998,-0.43
12/1/1998,0.72
1/1/1999,0.39
2/1/1999,-0.11
3/1/1999,-0.16
4/1/1999,-1.18
5/1/1999,0.9
6/1/1999,1.44
7/1/1999,-0.87
8/1/1999,0.38
9/1/1999,0.5
10/1/1999,0.73
11/1/1999,0.55
12/1/1999,1.4
1/1/2000,0.19
2/1/2000,1.48
3/1/2000,0.4
4/1/2000,-0.18
5/1/2000,1.52
6/1/2000,0.28
7/1/2000,-1
8/1/2000,-0.5
9/1/2000,-0.06
10/1/2000,1.51
11/1/2000,-1.1
12/1/2000,-0.63
1/1/2001,-0.22
2/1/2001,0.07
3/1/2001,-1.73
4/1/2001,-0.15
5/1/2001,0.03
6/1/2001,0.11
7/1/2001,-0.22
8/1/2001,-0.22
9/1/2001,-0.49
10/1/2001,0.25
11/1/2001,0.53
12/1/2001,-0.86
1/1/2002,0
2/1/2002,0.8
3/1/2002,0.32
4/1/2002,1.14
5/1/2002,-0.15
6/1/2002,0.69
7/1/2002,0.65
8/1/2002,0.36
9/1/2002,-0.54
10/1/2002,-1.97
11/1/2002,-0.32
12/1/2002,-0.96
1/1/2003,-0.32
2/1/2003,0.26
3/1/2003,-0.07
4/1/2003,-0.34
5/1/2003,0.06
6/1/2003,0.24
7/1/2003,0.16
8/1/2003,-0.22
9/1/2003,0.16
10/1/2003,-0.86
11/1/2003,0.77
12/1/2003,0.5
1/1/2004,-0.85
2/1/2004,-0.6
3/1/2004,0.67
4/1/2004,1.11
5/1/2004,0.23
6/1/2004,-0.59
7/1/2004,1.16
8/1/2004,-0.74
9/1/2004,0.52
10/1/2004,-0.69
11/1/2004,0.63
12/1/2004,1.03
1/1/2005,1.26
2/1/2005,-0.51
3/1/2005,-2.32
4/1/2005,-0.47
5/1/2005,-1.11
6/1/2005,0.26
7/1/2005,-0.48
8/1/2005,0.35
9/1/2005,0.76
10/1/2005,-0.55
11/1/2005,-0.46
12/1/2005,-0.5
1/1/2006,0.97
2/1/2006,-1.02
3/1/2006,-1.75
4/1/2006,1.2
5/1/2006,-1.01
6/1/2006,1.15
7/1/2006,0.93
8/1/2006,-2.35
9/1/2006,-1.43
10/1/2006,-1.92
11/1/2006,0.33
12/1/2006,1.15
1/1/2007,-0.25
2/1/2007,-0.98
3/1/2007,1.11
4/1/2007,0.04
5/1/2007,0.66
6/1/2007,-1.01
7/1/2007,-0.55
8/1/2007,-0.31
9/1/2007,0.85
10/1/2007,1
11/1/2007,0.48
12/1/2007,0.23
1/1/2008,0.53
2/1/2008,0.38
3/1/2008,-0.32
4/1/2008,-1.31
5/1/2008,-1.55
6/1/2008,-1.09
7/1/2008,-1.24
8/1/2008,-1.62
9/1/2008,1.14
10/1/2008,0.47
11/1/2008,-0.47
12/1/2008,-0.35
1/1/2009,-0.52
2/1/2009,-0.38
3/1/2009,0.19
4/1/2009,-0.36
5/1/2009,1.61
6/1/2009,-0.91
7/1/2009,-2.11
8/1/2009,-0.37
9/1/2009,1.62
10/1/2009,-0.61
11/1/2009,-0.16
12/1/2009,-1.88
1/1/2010,-1.8
2/1/2010,-2.69
3/1/2010,-1.33
4/1/2010,-0.93
5/1/2010,-1.33
6/1/2010,-0.52
7/1/2010,-0.39
8/1/2010,-1.69
9/1/2010,-0.62
10/1/2010,-0.5
11/1/2010,-1.84
12/1/2010,-1.8
1/1/2011,-1.53
2/1/2011,0.35
3/1/2011,0.24
4/1/2011,2.55
5/1/2011,-0.01
6/1/2011,-0.98
7/1/2011,-1.48
8/1/2011,-1.85
9/1/2011,0.67
10/1/2011,0.94
11/1/2011,1.3
12/1/2011,2.25
1/1/2012,0.86
2/1/2012,0.03
3/1/2012,0.93
4/1/2012,0.37
5/1/2012,-0.79
6/1/2012,-2.25
7/1/2012,-1.29
8/1/2012,-1.39
9/1/2012,-0.43
10/1/2012,-1.73
11/1/2012,-0.74
12/1/2012,0.07
1/1/2013,-0.11
2/1/2013,-0.96
3/1/2013,-2.09
4/1/2013,0.6
5/1/2013,0.58
6/1/2013,0.83
7/1/2013,0.7
8/1/2013,1.12
9/1/2013,0.38
10/1/2013,-0.88
11/1/2013,0.81
12/1/2013,0.79
1/1/2014,-0.17
2/1/2014,1.07
