record,IITKGP
1/1/1988,0.81
2/1/1988,0.54
3/1/1988,0.14
4/1/1988,-0.31
5/1/1988,-0.88
6/1/1988,-1.3
7/1/1988,-1.3
8/1/1988,-1.11
9/1/1988,-1.19
10/1/1988,-1.48
11/1/1988,-1.8
12/1/1988,-1.85
1/1/1989,-1.69
2/1/1989,-1.43
3/1/1989,-1.08
4/1/1989,-0.83
5/1/1989,-0.58
6/1/1989,-0.4
7/1/1989,-0.31
8/1/1989,-0.27
9/1/1989,-0.24
10/1/1989,-0.22
11/1/1989,-0.16
12/1/1989,-0.05
1/1/1990,0.14
2/1/1990,0.21
3/1/1990,0.28
4/1/1990,0.29
5/1/1990,0.29
6/1/1990,0.31
7/1/1990,0.33
8/1/1990,0.38
9/1/1990,0.39
10/1/1990,0.35
11/1/1990,0.4
12/1/1990,0.41
1/1/1991,0.41
2/1/1991,0.26
3/1/1991,0.22
4/1/1991,0.26
5/1/1991,0.45
6/1/1991,0.64
7/1/1991,0.73
8/1/1991,0.64
9/1/1991,0.62
10/1/1991,0.79
11/1/1991,1.21
12/1/1991,1.53
1/1/1992,1.71
2/1/1992,1.63
3/1/1992,1.48
4/1/1992,1.29
5/1/1992,1.06
6/1/1992,0.73
7/1/1992,0.37
8/1/1992,0.09
9/1/1992,-0.13
10/1/1992,-0.25
11/1/1992,-0.28
12/1/1992,-0.13
1/1/1993,0.09
2/1/1993,0.3
3/1/1993,0.5
4/1/1993,0.67
5/1/1993,0.7
6/1/1993,0.57
7/1/1993,0.32
8/1/1993,0.25
9/1/1993,0.15
10/1/1993,0.1
11/1/1993,0.04
12/1/1993,0.06
1/1/1994,0.06
2/1/1994,0.07
3/1/1994,0.17
4/1/1994,0.31
5/1/1994,0.42
6/1/1994,0.41
7/1/1994,0.44
8/1/1994,0.43
9/1/1994,0.55
10/1/1994,0.74
11/1/1994,1.01
12/1/1994,1.09
1/1/1995,0.96
2/1/1995,0.72
3/1/1995,0.53
4/1/1995,0.3
5/1/1995,0.14
6/1/1995,-0.03
7/1/1995,-0.24
8/1/1995,-0.54
9/1/1995,-0.81
10/1/1995,-0.97
11/1/1995,-1
12/1/1995,-0.98
1/1/1996,-0.9
2/1/1996,-0.75
3/1/1996,-0.59
4/1/1996,-0.39
5/1/1996,-0.31
6/1/1996,-0.3
7/1/1996,-0.27
8/1/1996,-0.32
9/1/1996,-0.35
10/1/1996,-0.4
11/1/1996,-0.45
12/1/1996,-0.49
1/1/1997,-0.5
2/1/1997,-0.36
3/1/1997,-0.1
4/1/1997,0.28
5/1/1997,0.75
6/1/1997,1.22
7/1/1997,1.6
8/1/1997,1.9
9/1/1997,2.14
10/1/1997,2.33
11/1/1997,2.4
12/1/1997,2.39
1/1/1998,2.24
2/1/1998,1.93
3/1/1998,1.44
4/1/1998,0.99
5/1/1998,0.45
6/1/1998,-0.13
7/1/1998,-0.78
8/1/1998,-1.12
9/1/1998,-1.31
10/1/1998,-1.35
11/1/1998,-1.48
12/1/1998,-1.57
1/1/1999,-1.55
2/1/1999,-1.3
3/1/1999,-1.07
4/1/1999,-0.98
5/1/1999,-1.02
6/1/1999,-1.04
7/1/1999,-1.1
8/1/1999,-1.11
9/1/1999,-1.16
10/1/1999,-1.26
11/1/1999,-1.46
12/1/1999,-1.65
1/1/2000,-1.66
2/1/2000,-1.41
3/1/2000,-1.07
4/1/2000,-0.81
5/1/2000,-0.71
6/1/2000,-0.64
7/1/2000,-0.55
8/1/2000,-0.51
9/1/2000,-0.55
10/1/2000,-0.63
11/1/2000,-0.75
12/1/2000,-0.74
1/1/2001,-0.68
2/1/2001,-0.52
3/1/2001,-0.44
4/1/2001,-0.34
5/1/2001,-0.25
6/1/2001,-0.12
7/1/2001,-0.08
8/1/2001,-0.13
9/1/2001,-0.19
10/1/2001,-0.29
11/1/2001,-0.35
12/1/2001,-0.31
1/1/2002,-0.15
2/1/2002,0.03
3/1/2002,0.09
4/1/2002,0.2
5/1/2002,0.43
6/1/2002,0.65
7/1/2002,0.79
8/1/2002,0.86
9/1/2002,1.01
10/1/2002,1.21
11/1/2002,1.31
12/1/2002,1.14
1/1/2003,0.92
2/1/2003,0.63
3/1/2003,0.38
4/1/2003,-0.04
5/1/2003,-0.26
6/1/2003,-0.16
7/1/2003,0.08
8/1/2003,0.21
9/1/2003,0.26
10/1/2003,0.29
11/1/2003,0.35
12/1/2003,0.35
1/1/2004,0.37
2/1/2004,0.31
3/1/2004,0.23
4/1/2004,0.17
5/1/2004,0.17
6/1/2004,0.28
7/1/2004,0.47
8/1/2004,0.64
9/1/2004,0.7
10/1/2004,0.67
11/1/2004,0.66
12/1/2004,0.69
1/1/2005,0.64
2/1/2005,0.58
3/1/2005,0.45
4/1/2005,0.43
5/1/2005,0.29
6/1/2005,0.11
7/1/2005,-0.06
8/1/2005,-0.14
9/1/2005,-0.11
10/1/2005,-0.29
11/1/2005,-0.57
12/1/2005,-0.84
1/1/2006,-0.85
2/1/2006,-0.77
3/1/2006,-0.57
4/1/2006,-0.37
5/1/2006,-0.14
6/1/2006,-0.03
7/1/2006,0.1
8/1/2006,0.3
9/1/2006,0.54
10/1/2006,0.77
11/1/2006,0.94
12/1/2006,0.94
