record,IITKGP
1/1/1988,0.93
2/1/1988,1.24
3/1/1988,1.42
4/1/1988,0.94
5/1/1988,1.2
6/1/1988,0.74
7/1/1988,0.64
8/1/1988,0.19
9/1/1988,-0.37
10/1/1988,-0.1
11/1/1988,-0.02
12/1/1988,-0.43
1/1/1989,-0.95
2/1/1989,-1.02
3/1/1989,-0.83
4/1/1989,-0.32
5/1/1989,0.47
6/1/1989,0.36
7/1/1989,0.83
8/1/1989,0.09
9/1/1989,0.05
10/1/1989,-0.12
11/1/1989,-0.5
12/1/1989,-0.21
1/1/1990,-0.3
2/1/1990,-0.65
3/1/1990,-0.62
4/1/1990,0.27
5/1/1990,0.44
6/1/1990,0.44
7/1/1990,0.27
8/1/1990,0.11
9/1/1990,0.38
10/1/1990,-0.69
11/1/1990,-1.69
12/1/1990,-2.23
1/1/1991,-2.02
2/1/1991,-1.19
3/1/1991,-0.74
4/1/1991,-1.01
5/1/1991,-0.51
6/1/1991,-1.47
7/1/1991,-0.1
8/1/1991,0.36
9/1/1991,0.65
10/1/1991,0.49
11/1/1991,0.42
12/1/1991,0.09
1/1/1992,0.05
2/1/1992,0.31
3/1/1992,0.67
4/1/1992,0.75
5/1/1992,1.54
6/1/1992,1.26
7/1/1992,1.9
8/1/1992,1.44
9/1/1992,0.83
10/1/1992,0.93
11/1/1992,0.93
12/1/1992,0.53
1/1/1993,0.05
2/1/1993,0.19
3/1/1993,0.76
4/1/1993,1.21
5/1/1993,2.13
6/1/1993,2.34
7/1/1993,2.35
8/1/1993,2.69
9/1/1993,1.56
10/1/1993,1.41
11/1/1993,1.24
12/1/1993,1.07
1/1/1994,1.21
2/1/1994,0.59
3/1/1994,0.8
4/1/1994,1.05
5/1/1994,1.23
6/1/1994,0.46
7/1/1994,0.06
8/1/1994,-0.79
9/1/1994,-1.36
10/1/1994,-1.32
11/1/1994,-1.96
12/1/1994,-1.79
1/1/1995,-0.49
2/1/1995,0.46
3/1/1995,0.75
4/1/1995,0.83
5/1/1995,1.46
6/1/1995,1.27
7/1/1995,1.71
8/1/1995,0.21
9/1/1995,1.16
10/1/1995,0.47
11/1/1995,-0.28
12/1/1995,0.16
1/1/1996,0.59
2/1/1996,0.75
3/1/1996,1.01
4/1/1996,1.46
5/1/1996,2.18
6/1/1996,1.1
7/1/1996,0.77
8/1/1996,-0.14
9/1/1996,0.24
10/1/1996,-0.33
11/1/1996,0.09
12/1/1996,-0.03
1/1/1997,0.23
2/1/1997,0.28
3/1/1997,0.65
4/1/1997,1.05
5/1/1997,1.83
6/1/1997,2.76
7/1/1997,2.35
8/1/1997,2.79
9/1/1997,2.19
10/1/1997,1.61
11/1/1997,1.12
12/1/1997,0.67
1/1/1998,0.83
2/1/1998,1.56
3/1/1998,2.01
4/1/1998,1.27
5/1/1998,0.7
6/1/1998,0.4
7/1/1998,-0.04
8/1/1998,-0.22
9/1/1998,-1.21
10/1/1998,-1.39
11/1/1998,-0.52
12/1/1998,-0.44
1/1/1999,-0.32
2/1/1999,-0.66
3/1/1999,-0.33
4/1/1999,-0.41
5/1/1999,-0.68
6/1/1999,-1.3
7/1/1999,-0.66
8/1/1999,-0.96
9/1/1999,-1.53
10/1/1999,-2.23
11/1/1999,-2.05
12/1/1999,-1.63
1/1/2000,-2
2/1/2000,-0.83
3/1/2000,0.29
4/1/2000,0.35
5/1/2000,-0.05
6/1/2000,-0.44
7/1/2000,-0.66
8/1/2000,-1.19
9/1/2000,-1.24
10/1/2000,-1.3
11/1/2000,-0.53
12/1/2000,0.52
1/1/2001,0.6
2/1/2001,0.29
3/1/2001,0.45
4/1/2001,-0.31
5/1/2001,-0.3
6/1/2001,-0.47
7/1/2001,-1.31
8/1/2001,-0.77
9/1/2001,-1.37
10/1/2001,-1.37
11/1/2001,-1.26
12/1/2001,-0.93
1/1/2002,0.27
2/1/2002,-0.64
3/1/2002,-0.43
4/1/2002,-0.32
5/1/2002,-0.63
6/1/2002,-0.35
7/1/2002,-0.31
8/1/2002,0.6
9/1/2002,0.43
10/1/2002,0.42
11/1/2002,1.51
12/1/2002,2.1
1/1/2003,2.09
2/1/2003,1.75
3/1/2003,1.51
4/1/2003,1.18
5/1/2003,0.89
6/1/2003,0.68
7/1/2003,0.96
8/1/2003,0.88
9/1/2003,0.01
10/1/2003,0.83
11/1/2003,0.52
12/1/2003,0.33
1/1/2004,0.43
2/1/2004,0.48
3/1/2004,0.61
4/1/2004,0.57
5/1/2004,0.88
6/1/2004,0.04
7/1/2004,0.44
8/1/2004,0.85
9/1/2004,0.75
10/1/2004,-0.11
11/1/2004,-0.63
12/1/2004,-0.17
1/1/2005,0.44
2/1/2005,0.81
3/1/2005,1.36
4/1/2005,1.03
5/1/2005,1.86
6/1/2005,1.17
7/1/2005,0.66
8/1/2005,0.25
9/1/2005,-0.46
10/1/2005,-1.32
11/1/2005,-1.5
12/1/2005,0.2
1/1/2006,1.03
2/1/2006,0.66
3/1/2006,0.05
4/1/2006,0.4
5/1/2006,0.48
6/1/2006,1.04
7/1/2006,0.35
8/1/2006,-0.65
9/1/2006,-0.94
10/1/2006,-0.05
11/1/2006,-0.22
12/1/2006,0.14
1/1/2007,0.01
2/1/2007,0.04
3/1/2007,-0.36
4/1/2007,0.16
5/1/2007,-0.1
6/1/2007,0.09
7/1/2007,0.78
8/1/2007,0.5
9/1/2007,-0.36
10/1/2007,-1.45
11/1/2007,-1.08
12/1/2007,-0.58
1/1/2008,-1
2/1/2008,-0.77
3/1/2008,-0.71
4/1/2008,-1.52
5/1/2008,-1.37
6/1/2008,-1.34
7/1/2008,-1.67
8/1/2008,-1.7
9/1/2008,-1.55
10/1/2008,-1.76
11/1/2008,-1.25
12/1/2008,-0.87
1/1/2009,-1.4
2/1/2009,-1.55
3/1/2009,-1.59
4/1/2009,-1.65
5/1/2009,-0.88
6/1/2009,-0.31
7/1/2009,-0.53
8/1/2009,0.09
9/1/2009,0.52
10/1/2009,0.27
11/1/2009,-0.4
12/1/2009,0.08
1/1/2010,0.83
2/1/2010,0.82
3/1/2010,0.44
4/1/2010,0.78
5/1/2010,0.62
6/1/2010,-0.22
7/1/2010,-1.05
8/1/2010,-1.27
