record,IITKGP
1/1/1988,-0.2
2/1/1988,-0.6
3/1/1988,1.1
4/1/1988,0.2
5/1/1988,1.5
6/1/1988,0.1
7/1/1988,1.7
8/1/1988,2.5
9/1/1988,3
10/1/1988,2.3
11/1/1988,2.8
12/1/1988,2
1/1/1989,2.5
2/1/1989,2
3/1/1989,1.8
4/1/1989,2.7
5/1/1989,2
6/1/1989,1.2
7/1/1989,1.5
8/1/1989,-0.5
9/1/1989,0.8
10/1/1989,1.3
11/1/1989,-0.4
12/1/1989,-0.9
1/1/1990,-0.1
2/1/1990,-3
3/1/1990,-0.7
4/1/1990,0.3
5/1/1990,2
6/1/1990,0.5
7/1/1990,0.9
8/1/1990,-0.3
9/1/1990,-1.2
10/1/1990,0.4
11/1/1990,-0.8
12/1/1990,-0.4
1/1/1991,1
2/1/1991,0.4
3/1/1991,-1.1
4/1/1991,-1
5/1/1991,-1.7
6/1/1991,-0.2
7/1/1991,0
8/1/1991,-0.7
9/1/1991,-2.5
10/1/1991,-1.7
11/1/1991,-1.1
12/1/1991,-2.9
1/1/1992,-4.7
2/1/1992,-1.5
3/1/1992,-3.3
4/1/1992,-1.7
5/1/1992,0.4
6/1/1992,-1
7/1/1992,-1
8/1/1992,0.6
9/1/1992,0.1
10/1/1992,-2.3
11/1/1992,-1.1
12/1/1992,-0.9
1/1/1993,-1.5
2/1/1993,-1.2
3/1/1993,-0.8
4/1/1993,-1.9
5/1/1993,-0.6
6/1/1993,-1.4
7/1/1993,-1.3
8/1/1993,-1.6
9/1/1993,-1.2
10/1/1993,-1.8
11/1/1993,-0.1
12/1/1993,0.3
1/1/1994,-0.2
2/1/1994,0.4
3/1/1994,-1.1
4/1/1994,-2.1
5/1/1994,-1.1
6/1/1994,-0.7
7/1/1994,-2.2
8/1/1994,-2
9/1/1994,-2.6
10/1/1994,-1.9
11/1/1994,-0.9
12/1/1994,-2
1/1/1995,-0.7
2/1/1995,-0.2
3/1/1995,1.2
4/1/1995,-1.1
5/1/1995,-0.6
6/1/1995,0.2
7/1/1995,0.7
8/1/1995,0.5
9/1/1995,0.4
10/1/1995,0
11/1/1995,0.1
12/1/1995,-0.8
1/1/1996,1.6
2/1/1996,0.4
3/1/1996,1.9
4/1/1996,1.3
5/1/1996,0.5
6/1/1996,1.9
7/1/1996,1.1
8/1/1996,1.2
9/1/1996,1
10/1/1996,1
11/1/1996,-0.1
12/1/1996,1.5
1/1/1997,0.8
2/1/1997,2.9
3/1/1997,-0.7
4/1/1997,-1
5/1/1997,-2.2
6/1/1997,-2.3
7/1/1997,-1.2
8/1/1997,-2.4
9/1/1997,-2.4
10/1/1997,-2.4
11/1/1997,-2
12/1/1997,-1.6
1/1/1998,-4.4
2/1/1998,-3.4
3/1/1998,-4
4/1/1998,-2.4
5/1/1998,0.4
6/1/1998,1.6
7/1/1998,2
8/1/1998,1.9
9/1/1998,1.7
