record,IITKGP
1/1/1988,0.15
2/1/1988,-0.02
3/1/1988,0.27
4/1/1988,0.38
5/1/1988,0.29
6/1/1988,0.34
7/1/1988,0.27
8/1/1988,0.03
9/1/1988,0.06
10/1/1988,-0.2
11/1/1988,-0.23
12/1/1988,-0.23
1/1/1989,-0.42
2/1/1989,-0.48
3/1/1989,-0.66
4/1/1989,-0.89
5/1/1989,-0.66
6/1/1989,-0.17
7/1/1989,0.25
8/1/1989,0.39
9/1/1989,0.06
10/1/1989,0.12
11/1/1989,-0.04
12/1/1989,0.22
1/1/1990,-0.08
2/1/1990,-0.1
3/1/1990,-0.04
4/1/1990,0.06
5/1/1990,0.13
6/1/1990,-0.02
7/1/1990,0.06
8/1/1990,0.3
9/1/1990,0.4
10/1/1990,0.41
11/1/1990,0.33
12/1/1990,0.17
1/1/1991,-0.14
2/1/1991,-0.11
3/1/1991,-0.22
4/1/1991,-0.39
5/1/1991,-0.42
6/1/1991,-0.43
7/1/1991,-0.39
8/1/1991,-0.29
9/1/1991,-0.14
10/1/1991,-0.11
11/1/1991,-0.15
12/1/1991,-0.18
1/1/1992,0
2/1/1992,0.04
3/1/1992,-0.18
4/1/1992,-0.29
5/1/1992,-0.18
6/1/1992,-0.11
7/1/1992,-0.01
8/1/1992,-0.23
9/1/1992,-0.21
10/1/1992,-0.06
11/1/1992,-0.3
12/1/1992,-0.23
1/1/1993,-0.25
2/1/1993,-0.25
3/1/1993,-0.23
4/1/1993,-0.07
5/1/1993,-0.04
6/1/1993,0.07
7/1/1993,-0.17
8/1/1993,-0.11
9/1/1993,-0.12
10/1/1993,-0.13
11/1/1993,-0.34
12/1/1993,-0.41
1/1/1994,-0.59
2/1/1994,-0.61
3/1/1994,-0.6
4/1/1994,-0.46
5/1/1994,-0.5
6/1/1994,-0.43
7/1/1994,-0.39
8/1/1994,-0.29
9/1/1994,-0.24
10/1/1994,-0.08
11/1/1994,-0.03
12/1/1994,-0.13
1/1/1995,-0.05
2/1/1995,-0.04
3/1/1995,-0.05
4/1/1995,0.11
5/1/1995,0.3
6/1/1995,0.48
7/1/1995,0.58
8/1/1995,0.59
9/1/1995,0.4
10/1/1995,0.37
11/1/1995,0.51
12/1/1995,0.47
1/1/1996,0.74
2/1/1996,0.4
3/1/1996,0.22
4/1/1996,0.31
5/1/1996,0.36
6/1/1996,0.18
7/1/1996,0.12
8/1/1996,-0.03
9/1/1996,0.15
10/1/1996,0.08
11/1/1996,0.03
12/1/1996,0.14
1/1/1997,0.31
2/1/1997,0.34
3/1/1997,0.15
4/1/1997,0.27
5/1/1997,0.43
6/1/1997,0.54
7/1/1997,0.34
8/1/1997,0.16
9/1/1997,0.26
10/1/1997,0.59
11/1/1997,0.58
12/1/1997,0.44
1/1/1998,0.43
2/1/1998,0.77
3/1/1998,0.75
4/1/1998,0.59
5/1/1998,0.59
6/1/1998,0.66
7/1/1998,0.56
8/1/1998,0.67
9/1/1998,0.51
10/1/1998,0.49
11/1/1998,0.43
