record,IITKGP
1/1/1988,0.63
2/1/1988,0.66
3/1/1988,0.77
4/1/1988,0.59
5/1/1988,0.71
6/1/1988,0.73
7/1/1988,0.46
8/1/1988,0.5
9/1/1988,0.3
10/1/1988,0.37
11/1/1988,0.14
12/1/1988,0.19
1/1/1989,0.41
2/1/1989,0.23
3/1/1989,0.35
4/1/1989,0.29
5/1/1989,0.33
6/1/1989,0.31
7/1/1989,0.26
8/1/1989,0.39
9/1/1989,0.21
10/1/1989,0.28
11/1/1989,-0.06
12/1/1989,-0.25
1/1/1990,-0.34
2/1/1990,0.13
3/1/1990,0.32
4/1/1990,0.35
5/1/1990,-0.06
6/1/1990,0.08
7/1/1990,-0.11
8/1/1990,-0.13
9/1/1990,-0.07
10/1/1990,0.1
11/1/1990,0.17
12/1/1990,0.22
1/1/1991,0.12
2/1/1991,0.06
3/1/1991,0.14
4/1/1991,0.31
5/1/1991,0.49
6/1/1991,0.44
7/1/1991,0.05
8/1/1991,-0.33
9/1/1991,-0.36
10/1/1991,-0.36
11/1/1991,-0.34
12/1/1991,-0.08
1/1/1992,-0.27
2/1/1992,-0.26
3/1/1992,-0.4
4/1/1992,-0.57
5/1/1992,-0.66
6/1/1992,-0.8
7/1/1992,-0.6
8/1/1992,-0.66
9/1/1992,-0.56
10/1/1992,-0.52
11/1/1992,-0.79
12/1/1992,-0.36
1/1/1993,-0.25
2/1/1993,-0.13
3/1/1993,-0.09
4/1/1993,0.2
5/1/1993,0.03
6/1/1993,-0.03
7/1/1993,0.05
8/1/1993,0.04
9/1/1993,0.44
10/1/1993,0.69
11/1/1993,0.75
12/1/1993,0.5
1/1/1994,0.32
2/1/1994,0.12
3/1/1994,0.24
4/1/1994,0.18
5/1/1994,0.11
6/1/1994,-0.18
7/1/1994,-0.26
8/1/1994,-0.17
9/1/1994,-0.15
10/1/1994,-0.05
11/1/1994,0.08
12/1/1994,0.2
1/1/1995,0.4
2/1/1995,0.61
3/1/1995,0.74
4/1/1995,0.61
5/1/1995,0.59
6/1/1995,0.64
7/1/1995,0.35
8/1/1995,-0.07
9/1/1995,-0.04
10/1/1995,-0.05
11/1/1995,0.12
12/1/1995,0
1/1/1996,0.18
2/1/1996,0.43
3/1/1996,0.47
4/1/1996,0.65
5/1/1996,0.77
6/1/1996,0.87
7/1/1996,0.66
8/1/1996,0.35
9/1/1996,0.13
10/1/1996,0.12
11/1/1996,0.12
12/1/1996,-0.06
1/1/1997,-0.22
2/1/1997,-0.34
3/1/1997,-0.47
4/1/1997,-0.5
5/1/1997,-0.54
6/1/1997,-0.67
7/1/1997,-0.27
8/1/1997,-0.09
9/1/1997,0.21
10/1/1997,0.69
11/1/1997,0.79
12/1/1997,1.03
1/1/1998,0.72
2/1/1998,0.74
3/1/1998,0.69
4/1/1998,0.54
5/1/1998,0.54
6/1/1998,0.66
7/1/1998,0.85
8/1/1998,0.59
9/1/1998,0.41
10/1/1998,0.21
11/1/1998,0.32
12/1/1998,0.11
1/1/1999,0.13
2/1/1999,0.05
3/1/1999,0.33
4/1/1999,0.45
5/1/1999,0.53
6/1/1999,0.49
7/1/1999,0.64
8/1/1999,0.55
9/1/1999,0.24
10/1/1999,0.28
11/1/1999,0.33
12/1/1999,0.36
1/1/2000,0.21
2/1/2000,0.39
3/1/2000,0.4
4/1/2000,0.37
5/1/2000,0.29
6/1/2000,0.2
7/1/2000,0.15
8/1/2000,0.2
9/1/2000,0.02
10/1/2000,0.1
11/1/2000,0.07
12/1/2000,-0.01
1/1/2001,0.16
2/1/2001,0.17
3/1/2001,0.29
4/1/2001,0.38
5/1/2001,0.47
6/1/2001,0.36
7/1/2001,0.15
8/1/2001,0.14
9/1/2001,0.11
10/1/2001,0.2
11/1/2001,0.16
12/1/2001,0.01
1/1/2002,0.14
2/1/2002,-0.06
3/1/2002,0.29
4/1/2002,0.31
5/1/2002,0.49
6/1/2002,0.33
7/1/2002,0.47
8/1/2002,0.01
9/1/2002,-0.08
10/1/2002,0.14
11/1/2002,-0.07
12/1/2002,0.35
1/1/2003,0.56
2/1/2003,0.57
3/1/2003,0.63
4/1/2003,0.42
5/1/2003,0.37
6/1/2003,0.1
7/1/2003,0.4
8/1/2003,0.49
9/1/2003,0.49
10/1/2003,0.53
11/1/2003,0.55
12/1/2003,0.56
1/1/2004,0.41
2/1/2004,0.22
3/1/2004,-0.01
4/1/2004,-0.26
5/1/2004,-0.12
6/1/2004,-0.08
7/1/2004,0.08
8/1/2004,0.22
9/1/2004,0.33
10/1/2004,0.14
11/1/2004,0.24
12/1/2004,0.43
1/1/2005,0.61
2/1/2005,0.49
3/1/2005,0.61
4/1/2005,0.29
5/1/2005,-0.06
6/1/2005,-0.26
7/1/2005,-0.32
8/1/2005,0.01
9/1/2005,-0.09
10/1/2005,0
11/1/2005,-0.07
12/1/2005,-0.02
1/1/2006,0.04
2/1/2006,0.23
3/1/2006,0.41
4/1/2006,0.31
5/1/2006,0.24
6/1/2006,0.41
7/1/2006,0.3
8/1/2006,0.33
9/1/2006,0.27
10/1/2006,0.23
11/1/2006,0.08
12/1/2006,0.32
1/1/2007,0.24
2/1/2007,0.21
3/1/2007,0.04
4/1/2007,0.24
5/1/2007,0.28
6/1/2007,0.43
7/1/2007,0.23
8/1/2007,0.15
9/1/2007,0.27
10/1/2007,0.11
11/1/2007,0.1
12/1/2007,0.2
1/1/2008,0.19
2/1/2008,0.36
3/1/2008,0.6
4/1/2008,0.64
5/1/2008,0.82
6/1/2008,0.7
7/1/2008,0.66
8/1/2008,0.51
9/1/2008,0.28
10/1/2008,0.27
11/1/2008,0.31
12/1/2008,0.41
1/1/2009,0.45
2/1/2009,0.35
3/1/2009,0.54
4/1/2009,0.52
5/1/2009,0.79
6/1/2009,0.59
7/1/2009,0.39
8/1/2009,0.24
9/1/2009,0.19
10/1/2009,0.45
11/1/2009,0.3
12/1/2009,0.7
1/1/2010,0.79
2/1/2010,0.68
3/1/2010,0.89
4/1/2010,0.68
5/1/2010,0.62
6/1/2010,0.85
7/1/2010,0.6
8/1/2010,0.48
9/1/2010,0.23
10/1/2010,0.43
11/1/2010,0.4
12/1/2010,0.41
1/1/2011,0.45
2/1/2011,0.59
3/1/2011,0.72
4/1/2011,0.49
5/1/2011,0.3
6/1/2011,0.2
7/1/2011,0.27
8/1/2011,0.2
9/1/2011,0.24
10/1/2011,0.28
11/1/2011,-0.05
12/1/2011,-0.48
1/1/2012,-0.32
2/1/2012,-0.51
3/1/2012,-0.08
4/1/2012,-0.33
5/1/2012,-0.04
6/1/2012,0.04
7/1/2012,-0.03
8/1/2012,-0.08
9/1/2012,0.02
10/1/2012,0.03
