record,IITKGP
1/1/1988,0.31
2/1/1988,-0.01
3/1/1988,0.77
4/1/1988,-0.04
5/1/1988,0.15
6/1/1988,-0.3
7/1/1988,-0.39
8/1/1988,-0.98
9/1/1988,-1.86
10/1/1988,-2.31
11/1/1988,-1.69
12/1/1988,-0.2
1/1/1989,-0.17
2/1/1989,-0.3
3/1/1989,-0.91
4/1/1989,-1.9
5/1/1989,-1.29
6/1/1989,-1.84
7/1/1989,-1.33
8/1/1989,-0.96
9/1/1989,-2.1
10/1/1989,-0.8
11/1/1989,-0.5
12/1/1989,0.03
1/1/1990,-0.13
2/1/1990,-0.12
3/1/1990,-0.31
4/1/1990,0.66
5/1/1990,0.49
6/1/1990,0.87
7/1/1990,0.62
8/1/1990,0.44
9/1/1990,2.84
10/1/1990,2.67
11/1/1990,0.73
12/1/1990,0.03
1/1/1991,-0.03
2/1/1991,-0.03
3/1/1991,0.44
4/1/1991,0.96
5/1/1991,0.72
6/1/1991,1.49
7/1/1991,0.89
8/1/1991,-0.46
9/1/1991,-0.69
10/1/1991,-1.36
11/1/1991,-1.78
12/1/1991,-0.29
1/1/1992,-0.04
2/1/1992,0.1
3/1/1992,0.55
4/1/1992,2.72
5/1/1992,1.98
6/1/1992,0.96
7/1/1992,0.74
8/1/1992,-1.3
9/1/1992,-0.53
10/1/1992,0.54
11/1/1992,-0.42
12/1/1992,0.08
1/1/1993,-0.14
2/1/1993,0.03
3/1/1993,0.21
4/1/1993,2.19
5/1/1993,2.13
6/1/1993,0.94
7/1/1993,0.47
8/1/1993,-0.42
9/1/1993,0.19
10/1/1993,0.56
11/1/1993,-0.54
12/1/1993,0.11
1/1/1994,-0.13
2/1/1994,-0.22
3/1/1994,-0.26
4/1/1994,0.54
5/1/1994,0.22
6/1/1994,0.94
7/1/1994,0.94
8/1/1994,-0.59
9/1/1994,0.25
10/1/1994,0.79
11/1/1994,-0.29
12/1/1994,0.27
1/1/1995,0.04
2/1/1995,0.08
3/1/1995,-0.1
4/1/1995,0.48
5/1/1995,0.16
6/1/1995,1.58
7/1/1995,2.71
8/1/1995,3.02
9/1/1995,1.63
10/1/1995,1.96
11/1/1995,0.79
12/1/1995,-0.03
1/1/1996,-0.17
2/1/1996,-0.25
3/1/1996,-0.41
4/1/1996,-0.51
5/1/1996,-0.27
6/1/1996,-0.23
7/1/1996,-1.23
8/1/1996,-2.14
9/1/1996,0.88
10/1/1996,-0.37
11/1/1996,-1.63
12/1/1996,-0.14
1/1/1997,-0.17
2/1/1997,-0.21
3/1/1997,0.19
4/1/1997,0.67
5/1/1997,2.16
6/1/1997,3.77
7/1/1997,4.75
8/1/1997,5.05
9/1/1997,6.13
10/1/1997,6.07
11/1/1997,4.73
12/1/1997,3.32
1/1/1998,3.57
2/1/1998,4.93
3/1/1998,5.43
4/1/1998,4.8
5/1/1998,4.46
6/1/1998,5.33
7/1/1998,6.02
8/1/1998,5.82
9/1/1998,3.35
10/1/1998,3.32
11/1/1998,1.56
12/1/1998,-0.04
1/1/1999,-0.17
2/1/1999,-0.23
3/1/1999,-0.24
4/1/1999,-0.5
5/1/1999,-0.83
6/1/1999,0.71
7/1/1999,-0.08
8/1/1999,3.09
9/1/1999,1.45
10/1/1999,0.21
11/1/1999,-0.08
12/1/1999,-0.21
1/1/2000,-0.17
2/1/2000,-0.3
3/1/2000,-0.8
4/1/2000,-0.04
5/1/2000,-0.31
6/1/2000,-1.11
7/1/2000,-0.66
8/1/2000,1.09
9/1/2000,1.16
10/1/2000,0.96
11/1/2000,0.65
12/1/2000,0.03
1/1/2001,-0.17
2/1/2001,-0.24
3/1/2001,-0.44
4/1/2001,0.12
5/1/2001,-0.68
6/1/2001,0.51
7/1/2001,0.57
8/1/2001,2.95
9/1/2001,3.09
10/1/2001,2.07
11/1/2001,1.89
12/1/2001,-0.01
1/1/2002,-0.13
2/1/2002,-0.14
3/1/2002,0.06
4/1/2002,0.81
5/1/2002,0.47
6/1/2002,-0.36
7/1/2002,0.71
8/1/2002,0.68
9/1/2002,1.77
10/1/2002,3.03
11/1/2002,1.15
12/1/2002,0.01
1/1/2003,-0.03
2/1/2003,0.02
3/1/2003,1.21
4/1/2003,0.46
