record,IITKGP
1/1/1988,1.83
2/1/1988,0.3
3/1/1988,0.53
4/1/1988,-0.2
5/1/1988,-0.15
6/1/1988,-0.25
7/1/1988,-1.47
8/1/1988,0.78
9/1/1988,-0.83
10/1/1988,-0.56
11/1/1988,-0.96
12/1/1988,-0.67
1/1/1989,1.26
2/1/1989,0.53
3/1/1989,-1.98
4/1/1989,-0.28
5/1/1989,0.36
6/1/1989,-0.62
7/1/1989,0.89
8/1/1989,2.52
9/1/1989,0.44
10/1/1989,1.5
11/1/1989,-0.47
12/1/1989,-1.98
1/1/1990,1.37
2/1/1990,0.24
3/1/1990,-0.13
4/1/1990,-0.84
5/1/1990,0.17
6/1/1990,0.77
7/1/1990,0.42
8/1/1990,0.59
9/1/1990,0.68
10/1/1990,0.11
11/1/1990,0.59
12/1/1990,0.61
1/1/1991,-1.3
2/1/1991,-0.78
3/1/1991,1.83
4/1/1991,0.7
5/1/1991,0.56
6/1/1991,0.63
7/1/1991,-1.73
8/1/1991,-1.15
9/1/1991,-0.58
10/1/1991,-0.32
11/1/1991,-0.94
12/1/1991,0.29
1/1/1992,0.35
2/1/1992,-0.81
3/1/1992,1.12
4/1/1992,-0.62
5/1/1992,-0.21
6/1/1992,-0.17
7/1/1992,1.17
8/1/1992,1.19
9/1/1992,-1.02
10/1/1992,0.81
11/1/1992,1.26
12/1/1992,0.08
1/1/1993,-0.22
2/1/1993,0.24
3/1/1993,-0.48
4/1/1993,-1.67
5/1/1993,0.96
6/1/1993,0.04
7/1/1993,-0.31
8/1/1993,0.52
9/1/1993,-0.44
10/1/1993,1.14
11/1/1993,0.83
12/1/1993,0.89
1/1/1994,0.47
2/1/1994,-1.16
3/1/1994,-0.22
4/1/1994,-0.14
5/1/1994,1.08
6/1/1994,0.48
7/1/1994,1.11
8/1/1994,2.59
9/1/1994,-0.93
10/1/1994,0.46
11/1/1994,0.77
12/1/1994,0.27
1/1/1995,-0.18
2/1/1995,-2.05
3/1/1995,-1.04
4/1/1995,0.72
5/1/1995,0.91
6/1/1995,-1.32
7/1/1995,0.83
8/1/1995,-0.74
9/1/1995,0.05
10/1/1995,-0.42
11/1/1995,-1.76
12/1/1995,-1.72
1/1/1996,-0.92
2/1/1996,0.07
3/1/1996,-0.3
4/1/1996,-2.12
5/1/1996,-1.46
6/1/1996,-0.09
7/1/1996,1.66
8/1/1996,-1.18
9/1/1996,-1.41
10/1/1996,-0.78
11/1/1996,0.26
12/1/1996,0.6
1/1/1997,-2.31
2/1/1997,-0.24
3/1/1997,-0.16
4/1/1997,-1.04
5/1/1997,1.21
6/1/1997,-0.67
7/1/1997,0.4
8/1/1997,-0.34
9/1/1997,0.38
10/1/1997,-2.15
11/1/1997,1.84
12/1/1997,0.91
1/1/1998,0.06
2/1/1998,0.67
3/1/1998,1.04
4/1/1998,2.32
5/1/1998,1.88
6/1/1998,-0.34
7/1/1998,-0.4
8/1/1998,-0.02
9/1/1998,1.81
10/1/1998,1.32
11/1/1998,0.34
12/1/1998,0.6
1/1/1999,0.08
2/1/1999,1.51
3/1/1999,1.19
4/1/1999,1.3
5/1/1999,-0.3
6/1/1999,0.32
7/1/1999,0.26
8/1/1999,1.12
9/1/1999,0.6
10/1/1999,-0.45
11/1/1999,1.91
